"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"U1";"SOIC-8_3.9x4.9mm_Pitch1.27mm";1;"ATTINY85-20SU";;;
2;"C1,C3";"C_0603_HandSoldering";2;"0.1uF";;;
3;"C4";"C_0805_HandSoldering";1;"10uF";;;
4;"D1";"LED_0603_HandSoldering";1;"Heartbeat LED";;;
5;"J2";"JST_PH_S2B-PH-K_02x2.00mm_Angled";1;"Batt Conn";;;
6;"R1";"R_0603_HandSoldering";1;"4.7k";;;
7;"R2";"R_0603_HandSoldering";1;"10k";;;
8;"R3";"R_0603_HandSoldering";1;"1.5k";;;
9;"S1";"SW_TH_Tactile_Omron_B3F-10xx";1;"Button";;;
10;"SW1";"E-Switch_EG1390";1;"Power Switch";;;
11;"U2,U3,U4,U5,U6,U7,U8,U9,U10,U11";"LED_RGB_5050-6_Compact";10;"APA102C";;;
12;"C2";"CP_Tantalum_Case-C_EIA-6032-28_Reflow";1;"100uF";;;
13;"J1";"ISP_Header_Pogo_2x03_Pitch2.54mm";1;"ISP_Header";;;
14;"G***";"flamingo_logo_8-8_6-7";1;"LOGO";;;
